question,answer,image_id
what is in front of the sofa,table,image601
what is at the top of the bed,window,image1189
what is on the black drawer table,toy_doll,image530
what is the object on the floor in the doorway,toy_chair,image98
what are the objects found near the television,"dvd_player, book",image1317
how many pillows are found in the left bed,2,image1120
what is the colour of the table and chair,brown,image1350
what is to the right of the television,speaker,image177
how many frames are there on the wall,3,image1161
what is colour of wall,white,image262
what objects are found to the left of the telephone,charger,image856
how many blinds are there,3,image1222
what is to left of toilet,towel,image723
what is on the left side of the flower vase,mirror,image1405
what is the object on the floor left of the counter,ladder,image884
how many pictures are there on the wall,2,image913
what is on the night stand on the right side of the bed,"lamp, alarm, book, papers",image996
what is at the left side of the sofa,television,image1225
what is behind the container,knife_rack,image576
what is stuck on the left side wall,photo,image1373
what is the colour of the stool,yellow,image1029
what is in front of the sofa,table,image1243
what is the object close to the wall,photo,image1019
what are the objects kept on the shelves,books,image108
what object is stuck below the storage rack,tissue_roll,image807
what is found in front of the window,cabinet,image1115
what object is found opposite to the kitchen cabinet,window,image901
what are the objects on the shelf,clothes,image92
what is behind the television,picture,image218
what is on the piano,basket,image1282
what is found in the top left corner,door,image916
what is on top of the table yellow in colour,clock,image319
what color is the side table on the left side of the sofa,brown,image488
how many drawer knobs are there,3,image1215
what is the largest object on the table,television,image1319
what is in front of the picture,"flower, vase",image832
what is on the table,vase,image166
what object is found on the bed,pillow,image963
how many sections in the closet,6,image75
what is on the left side of the chair,air_conditioner,image589
what are the objects on the side table below the window screen,"soft_toy, toy, photo",image66
what is the colour of the bed cover,blue,image929
what color is the paper holder on the right side of the water spray bottle,black,image22
what is the blue colour object found,bag,image854
what is the object above the stove close to the wall,microwave,image145
what is at the right side,wardrobe,image1069
how many chairs around the table,4,image468
what is the object close to the counter,sink,image896
what are the things on the cabinet,"lamp, telephone",image1187
what color are the mats on the table on the left side of the picture,pink,image225
what is in front of the sofa,table,image372
what is on the left side of the lamp,books,image939
what is on the bed,"pillow, clothes",image1046
what is in front of the lamp,remote_control,image1110
what is the object on the stool,photo,image146
what is the colour of floor,brown,image225
what is inside the sink,plastic_tub,image130
what is the object on the stool,television,image602
what is the object close to the counter,stove,image854
what is found in between the doors,television,image912
how many blinds are there,3,image984
what is beneath the picture,television,image1121
what is the purple box the brown table,tissue_box,image419
what is in front of the lamp,book,image924
what is to the left of the television stand,stacked_chairs,image164
what is to the left of the shelf,box,image400
what is the object on the wall behind the table,poster_board,image628
what is found behind the cabinet,cabinet,image1187
what is the object on which the laptop is kept,table,image146
what is behind the chairs,door,image1381
how many picture frames are there on the wall,3,image1017
what is on the left side of the table,stool,image936
what is to the left bottom of the photo,plant_pot,image1271
what is the object on the floor behind the table,sofa,image601
what is the object close to the counter,stove,image892
what is in front of the table,chair,image628
how many beds are there,2,image1186
what is on the table,lamp,image588
what is the colour of the blanket found,blue,image1168
what are found on the left side of the rack,cabinet,image1172
what is the object found to the right,sofa,image984
what is hung on the wall,wall_decoration,image1007
what is in front of the blinds,toy_horse,image425
what are the objects on top of the table,"laptop, mouse, books, pen, paper",image83
what is near the tape dispenser,fax_machine,image450
what is stuck on the wall,decoration_item,image1070
what is the object on the floor in front of the wall,cabinet,image1042
what objects on the table on the far left corner,"photo, plant_pot",image1271
what is next to the bed,door,image987
what is behind the bed,curtain,image1006
what is on the left side of the cpu,plastic_box,image421
how many pots are in the room,3,image457
what is behind the boxes,shelves,image490
what are the objects close to the wall on the racks,books,image53
what is on the right side of the blue chair,excercise_equipment,image428
what is the object on the table right of the tissue box,flower_pot,image878
what is the largest object,refridgerator,image263
what is on the top of the cabinet,mirror,image1426
what are the things in the rack,"framed_certificate, vase",image1393
how many chairs are in front of the desk,2,image383
what is right of sofa,lamp,image268
what is to the right of the piano,stroller,image1282
what is hanging on the hangers on the right side of the room,backpack,image309
what is the dark colour shirt in the wardrobe,red,image162
what is the object on the table in the pot,plant,image793
what are stuck on the wall,photo,image1316
what are stuck on the wall,photo,image914
what is on the right side of the keyboard,mouse,image611
what is at the right side,cabinet,image1065
what is to the left of the display case,photo,image1371
what is the colour of the table,brown,image1367
what is the object stuck on the wall,photo,image900
what is the largest object,table,image888
what is on the right side of the sofa,lamp,image1272
what is behind the scissors,chair,image1416
what is around the table,chair,image878
what is above toilet,tissue_roll,image704
what is found on the top of the burner,cooking_pan,image892
what is on the bed,"comforter, pillow",image73
what is the object on the floor left and right of the chairs,table,image828
what color is the picture on the right side of the whiteboard,"yellow, red, orange",image290
what is the object on the cpu,doll,image955
what is to the left of the computer,printer,image455
what is in front of chair,bench,image1345
what is behind the baby chair,television,image402
how many cabinets are above the sink and the dish rack,3,image130
what is on the table,television,image1268
what is the colour of the lamp,white,image924
what is in front of the wall,table,image1436
what object is found on the table,coffee_machine,image817
what is behind the table,shelves,image223
what is the colour of the clothes in the last shelf,"red, blue, green",image116
what are the objects found left to the bed,"table, lamp",image1139
what is available near the lamp,bed,image1024
what is on the right side of the bottle of liquid,lamp,image73
what color is the table below the black chandelier,white,image249
what is the colour of wall,white,image266
what is the green object on the table,tissue_box,image735
how many stacks of paper are there on the table,2,image25
what is on the right side of the monitor,ornamental_plant,image792
what is under the table,garbage_bin,image370
how many pillows are there,2,image1189
what are the things found on the sink,"bar_of_soap, bottle_of_hand_wash_liquid, cream, toothpaste",image660
what objects are on the table,"papers, clothes",image954
what is on the right side of the tap,cup,image575
what is the table made up of,glass,image805
what is on the table,vase,image265
what is on the chair,clothes,image391
what is opposite side to the shoe rack,laundry_basket,image1051
what is on the drawer,toiletries,image497
what is the colorful object on the top right of the window on the shelf,decorative_plate,image1437
how many four leg objects are in this picture,4,image478
what is on the table,flower_pot,image1231
how many cables are plugged to the switch box,2,image139
what is to the left of the globe,book,image481
what is the object on the floor left of the counter,whiteboard,image5
what is the black and white toy behind the foosball table on the floor,ball,image422
how many windows are there,3,image1324
what is the object close to the wall above the stove,microwave,image867
what is around the table,chair,image805
what are the objects close to the counter below the cabinet,"faucet, sink",image138
what is the round object on the wall,clock,image336
what is in the crib,sheets,image401
what are the objects found near the sink,"toothbrush, bottle_of_hand_wash_liquid, hand_sanitizer, cream",image691
how many chairs are there,2,image455
what is found at the left side of the window,storage_rack,image825
what is on the right side of the laptop,plastic_cup_of_coffee,image4
what are the objects on the front table,"coffee_packet, cup",image121
what is in front of the table,chair,image455
how many cupboards are on the wall,3,image13
what is inside the bag,chart,image393
what is beneath the television,table,image1138
what are the objects close to the counter,"sink, faucet",image695
what is on the left side of the whiteboard,stacked_chairs,image5
what is on the end table between the chairs,book,image478
what is on the right side of the whiteboard,door,image439
what is on top of the shelf near the table,globe,image323
what is on bed,pillow,image527
what is in front of the bed,bench,image999
what is on the left side of the curtains,picture,image1284
what is the largest object on the table,lamp,image1161
what is in front of the shelf,sofa,image246
what are the things found on the rack,"lamp, container_of_skin_cream",image1186
what is to the right of the bunk bed,chair,image1054
what is the largest object,table,image26
what is the round object on the wall,clock,image336
what is in front of the cabinet,sofa,image1322
what is on the left side of the bed,night_stand,image938
what is the colour of the floor mat,red,image1240
what color is the ball on the floor on the right side of the bed,red,image1185
how many televisions are there,2,image981
what is hanged on the chair,jacket,image622
what is the largest object is in front of the mirror,ornamental_plant,image735
what are on the brown table,"book, magazine",image1345
what is at the right side of the bed,mirror,image1177
what is the colour of plug,black,image739
how many sofas are there,2,image590
what is on the chair,bag,image587
what is the red colour object found,tea_kettle,image874
what are the things found near the table,"container, bag",image1066
what is the colour of the coffee machine,black,image905
what is found behind the sink,storage_rack,image893
what is on the right side of the night stand,blinds,image914
what color is the shower curtain and drawer knobs,green,image729
what is in front of the television,bed,image1121
what is the colour of the clothes,green,image936
what are found in front of the window,"light, sink",image881
what is found in front of the window,sink,image825
what is in front of the oven rack,faucet,image140
what is the object next to the sink and in front of the glass,toothpaste,image44
what is on the drawer table,stove,image809
what color is the sheet on the mattress,green,image534
what is at the corner of the wall near the door,umbrella,image150
what is the colour of the kitchen,white,image204
what color is the wall behind the laptop and lampshade,purple,image93
what is the object close to the wall above the counter,switchbox,image140
what is at the right side,television,image1223
what are the objects in the shelves,books,image51
what object is on the table,lamp,image1074
what is the largest object,bed,image1014
what is on the left most side on the table,lamp,image929
what is on the hanger,towel,image654
what objects are found on the cabinet,photo,image999
what is behind the chair,window,image589
what are stuck on the wall,photo,image1284
what is found on the right of the sink,juicer,image818
what is on the left side of the tissue roll,towel,image705
what is on the right side of the papers on the left most side on the table,stapler,image628
what is found on the left side,window,image990
what is on the pink drawer table,clothes,image530
which instrument with keys is used to play music,piano,image350
what is on the left side of the sofa,table,image1214
what are the objects that are fitted close to the ceiling,"air_vent, light, fire_alarm",image12
how many chairs are there,1,image53
what is kept on top of the drawer table,books,image1031
what is behind the drawer table,blinds,image1041
what is on the left side of the bean bag,bag,image1008
what is hanged on the wall,photo,image1405
how many pink bags are there,1,image69
what are the objects on the bed,"pillow, blanket, soft_toy",image937
how many cupboard handle are there,18,image790
what is on the left side of the toy horse,toy_chair,image425
what is behind the table,cabinet,image1328
what is the colour of the chair,"yellow, red",image1269
what is on the top of the dresser close to the red deoderant,box,image82
what is on the book,remote_control,image1313
what color are the walls,blue,image1381
what is in the left corner in the room,chair,image1312
what is on the left side of the candle holder,box,image1440
what is on the wall,picture,image1372
what are found on the top of the bed,"bed_sheets, pillow",image910
what is hanged on the middle of the wall,photo,image1271
what is the object close to the counter,sink,image807
what is the curtain colour,white,image666
what is stuck on the wall to the right top of the bed,paper,image1062
what are around the dining table,chair,image1440
what is kept on top of the bed,pillow,image1014
what is the object in front of the projector screen,table,image27
what are the toiletries found,"bottle_of_soap, container_of_skin_cream, face_wash_cream",image654
how many drawers are visible,11,image890
what is on the either side of the drawer table,blinds,image920
what is on the chair,pillow,image1309
what is the colour of the towel,pink,image705
what is in front of the table,sofa,image238
what color is the bedside lamp behind the bottle of water,black,image73
what is in the rack,show_piece,image1380
what is behind the bed,bookshelf,image986
what is on the right side of the sofa,lamp,image546
what is on the wall in front of the table,board,image415
what is below the painting,table,image52
what is at the top right side,fireplace,image1225
what is on the top right,window,image1351
what is on the left side of the tissue roll,"knife_rack, knife",image898
what is below the sofa,lego,image422
what is in front of the window,sink,image808
what is the red object,deoderant,image82
what are the objects on the bed,"pillow, blanket, toy",image937
what is on the left side of the clothes,bed,image1177
how many pillows are there,2,image58
what is the colour of the microwave,white,image203
what are the colours are on the bed,"pink, black, green, purple",image1133
what is on the left side of the mirror,picture,image1067
what is the object on the ground below the counter,dishwasher,image139
what is present on top of the bed,pillow,image1046
what is on the right side of the lamp,flower_pot,image1231
what is the green coloured object,"bean_bag, bin",image1008
what is the colour of the door,blue,image578
what object is mounted on the wall in the middle,photo,image856
what is on the right side of the bed,night_stand,image514
what is on the sofa,paper,image1252
what are the colours in the hanging near the door,"red, yellow",image922
how many stairs are between the front side and the back side of the store,3,image95
what is on the television stand,"picture, decorative_item",image165
what is in between the stool and the table,basket,image409
what is on the wall,picture,image902
what is held in the coffee machine,coffee_pot,image872
what is above the printer,microwave,image828
what is present in front of the window,bed,image1036
what is hanging from the drawer,clothes,image1037
what is the object on the on the wall above the sink,mirror,image721
how many shelves are on the wall,1,image10
what is on the left side of the stove,knife_rack,image754
what is near the toaster oven,bread,image139
what is the colour of the bag beneath the bag,red,image957
what is behind the kids,table,image303
how many beds are there,2,image1020
what is on the right side of the dog,pillow,image1243
what is beneath the television,table,image1316
what is on the floor,papers,image948
what is the object found on the left top,window,image958
how many bottles are there,14,image4
what is present on the left side,storage_rack,image1035
what is on the left side of the lamp,door,image1232
what is the border colour of the dinning table,red,image794
what is the largest object,bunk_bed,image1160
what is on the floor,rug,image1426
what is above the box,book,image106
how many brown pillows are there on the bed,2,image58
what is on the drawer,towel,image573
what is behind the plants,window,image459
what is behind sink,mirror,image716
what is the largest object in the image139 on the counter,microwave,image139
what is beneath the audio system,books,image646
what is on the left side of the chair,table,image460
what is in front of the shelf,chair,image418
what is found in front of the photo,sofa,image1087
what is the object on the floor behind the table,room_divider,image22
what is the object close to the wall right of the counter,dishwasher,image884
what is on the left side of the stove,knife_rack,image754
what is on the right side of the toy,stand,image943
what is behind the chair,bookshelf,image1040
what is colour of sofa,gray,image255
what is on the sofa,pillow,image1267
what is to the left of the vase,mirror,image1404
what is on the right side of the door,water_cooler,image417
what is the object on the counter in front of the colored wall,microwave,image793
what is stuck on the table,photo,image1061
what is on the top bed,towel,image1160
what is on the left most side,shelves,image94
what is object kept on the stove,aluminium_foil,image136
what is to the right of the printer,plastic_box,image409
what is behind the sofa,glass_ware,image225
what is on the clothes hanger,towel,image659
what is on the right side of the bottle of liquid,sink,image655
what colour is bed sheet,pink,image541
what is found opposite to the door,bed,image1121
how many towels are there,1,image665
how many chairs are there,8,image828
what is the color of the chairs,blue,image6
what is on the wall,picture,image1322
how many ceiling lights are there,6,image799
what is the colour of the mat,red,image1236
what is on the floor in between the storage racks,basket,image1047
what are the things in the cabinet,photo,image1328
how many windows found to the opposite of the table,2,image888
how many bottles are on the table,4,image319
what is near the book on the table,remote_control,image380
what is to the right of the table,chair,image319
what is on the right side of the garbage bin,curtain,image742
what is on the right side of the bed,cabinet,image1110
what is on the table,book,image1281
what object is found to the right side,"cabinet, lamp",image1114
how many pillows are there in square shape,2,image1116
what is the colour of the table,white,image1402
how many pillows are there,2,image1133
what are found on the floor,"book, hat",image1064
what is on the foot rest,newspapers,image1323
what is on the stove,frying_pan,image144
what is on the shelf,"printer, pen_stand, paper",image25
what is in the side of toilet,tissue_roll,image701
what is in front of the photo frame,wire,image371
what is at the centre of the chairs,table,image1334
what is behind the vacuum cleaner,refridgerator,image489
what is on the left side of the papers on the table,tissue_box,image373
what is the colour of screen,white,image50
what is above the lamp,picture,image217
what is beneath the table,picture,image788
what is the colour of sofa,brown,image599
what is on the table,"book, picture",image1251
what is right side of the tap,bottle_of_liquid,image44
how many cartons are there,4,image106
what objects are found near the white colour object,"sink, faucet",image853
what is on the left side of the monitor,carton,image818
what is present on top of the storage rack in the middle,lamp,image1042
what is the object close to the wall below the window,towel_rod,image703
what is between the lamps,bed,image1110
what is on the right side of the lamp,cream_tube,image948
what is the object close to the wall,poster_board,image614
how many pillows are on the sofa,2,image156
how many chairs are there,4,image746
what is behind the sofa,table,image258
what is on the right side of the bottle,telephone,image624
what is on the left side of the microwave,"plate, bowl",image793
what is the large brown object,dresser,image66
how many red objects are in this picture,1,image8
how many mirrors are there,2,image674
what is the object close to the counter,stove,image826
how many shelves are visible,7,image105
what are the machines on the table,"fax_machine, printer",image10
what is the biggest object on top of the table,lamp,image1030
what is to right of sink,window,image720
what is found below the photo,table,image1417
what is the object close to the wall in front of the room divider,sink,image48
what is on the right side of the window,decorative_plate,image1437
what is on the right side of the broom,chair,image832
how many files are on the file stand,6,image615
what is on the left of the table,coffee_machine,image416
how many switches are there on the switch board,2,image8
what is above the sink,bottle_of_hand_wash_liquid,image130
what is the colour of the walls,white,image219
what is kept on the floor,garbage_bin,image703
how many chair are,2,image244
what is the yellow bowl,bowl,image751
what is in front of the sofa,table,image1343
what is the object close to the floor,floor_mat,image805
what is on the right side of the drawer table,picture,image1054
what is above the cot,shelves,image71
what is on the sofa,"books, toy",image439
what is the colour of the sink top,white,image695
what is on top of the bed,pillow,image1029
how many toy chairs are on the floor,2,image402
what is the largest object that is placed on the table,laptop,image4
what is the object that placed below the shelves and to the right of the pen holder,flatbed_scanner,image11
what is at the corner of the room,garbage_bin,image608
what is beneath the chair,bin,image1056
what is on the table,"paper, bag",image893
what covers the bed,bed_sheets,image1013
how many drawers are there,4,image1047
what kind of table is on the right side of the room,ping_pong_table,image640
what is in the sink,"plate, spoon",image574
what is behind the chairs,grill,image403
what is behind the sink tap,grill,image140
what is the colour of the bowl,white,image853
what is the object close to the counter,stove,image572
what is the object on the floor in front of the table,garbage_bin,image496
what is above the tap,mirror,image684
what is on the left side of the refrigerator,oven,image815
what are the objects on the bed,"pillow, blanket",image64
what is on the wall,spot_light,image1070
what is beneath the shelf,basket,image491
what is the largest object on the table,monitor,image903
what is on the right side of the stove,ornamental_plant,image796
what is in front of the sofa,table,image380
what is the blue object in the black pen stand,scissor,image11
what is the displaying object close to the wall,projector,image20
what is the yellow colour object found in the kitchen container,cup,image866
what is on the sofa,pillow,image261
what color is the garbage bin,white,image826
what are found on the table in front of the sofa,"bowl, ashtray",image1238
how many chairs are there around the table,chair,image900
what is on the table,picture,image1028
what is below the photo,chair,image1374
what are the colours of the clothes,"pink, black, white, blue",image99
what is on the bed,"pillow, comforter",image1030
how many apples are there,3,image750
what is to the right of the shirts,shelves,image406
what is stuck on the wall,decorative_item,image1361
what is on the table,papers,image373
what color are the blinds,white,image156
what is opposite to the speaker,table,image602
what is on the right side of the crib,cloth_bag,image944
what color is the couch,brown,image50
what is the largest object,wardrobe,image72
how many doors are open,1,image715
what colors are the circles on the back of the chairs,"green, yellow",image294
what is the object on the hangers,jacket,image94
what is is in the third rack of the shelf,books,image152
how many trays in plastic cupboard,5,image737
what is behind the candle holder,window,image1440
what is inside the container,"sticks, rope",image496
how many flower vases on the table,1,image735
what is the object close to the wall left side of the printer,whiteboard,image24
what is the colour of the flowers,"yellow, red",image1434
what is the blue colour object on the night stand,tissue_box,image949
what is behind the lamp,curtain,image1009
how many picture frames are there on the table,3,image383
what is on the right side of the switch board,table,image1160
what is the colour of the curtain,"blue, green",image501
what is near the stove,hot_water_heater,image145
what is stuck on the right side of the wall,mask,image1420
what is the object covered with bed sheets near the lamp,bed,image1006
what is on the right side of the curtain,bathtub,image501
what is left to the photo,window,image1352
what is the colour of the towel seen,white,image667
what is the colour of the screen,green,image8
what is colour of window screen,white,image288
what is in front of the door,table,image1086
what is the object on the floor behind the toilet,garbage_bin,image730
what is on the stool,toy_chair,image1375
how many chairs are there,3,image799
what is to the left of the sofa,lamp,image488
what is in front of the wall,monitor,image788
what are the objects found on the cabinet,"photo, book, toy",image1113
how many faucet handles are there,1,image807
what is on the left side of the picture,mirror,image653
what is the object close to the wall above the counter,mirror,image695
what is in front of the table,bag,image626
what colour is the door,gray,image278
what is on the wall,papers,image305
what are the colours of the clothes,"white, blue, black, pink, green",image115
what are around the dining table,chair,image1436
what is on the right side of the sofa,window,image372
how many doors are open,1,image915
what is the colour of the basket,blue,image409
what is on the right side of the bowl,decorative_item,image849
what is the colour of the doors,brown,image468
what is on the left side of the rack,chair,image460
what is on the floor,floor_mat,image1172
what is the big white object in the left side on the black electronic kettle,refridgerator,image875
which objects are for playing ping pong in this picture,"ping_pong_racket, ping_pong_table",image641
what are the objects placed on the counter below the shelves,"tape_dispenser, hole_puncher, paper_holder",image12
what is on the wall,picture,image963
what objects are right to the bed,"lamp, books, papers",image952
what is the object on the counter,stove,image831
what is on the table near the washing machine,clothes,image405
what is on the right side of the sink,bowl,image898
what is to the left of wall,garbage_bin,image8
what is the object on which the board placed,stand,image339
what is in between the lamps,case,image343
what is the white object on the kitchen shelf,"cup, saucer",image1351
what is the colour of the bed sheet,green,image988
what is the object on the stool,lamp,image998
what is stuck on the wall,photo,image1085
what is found near the books in front of the mirror,remote_control,image982
what is on the television,dvd_player,image1223
how many beds are there,1,image950
how many black swivel chairs are there in front of the white wall,1,image23
what is to the left of the shelf,shower_curtain,image648
what is the object on the shelf,dvd_player,image646
what are the objects found below the cabinet,books,image998
what is on the left side of the suitcase,bag,image950
what is to the right of the bed,cabinet,image1065
what is above the container,spoon_stand,image575
what are seen in the inner room,"cabinet, photo, sofa",image1439
what is the object on the chair,jacket,image453
what is on the left side of the garbage bin,cables,image924
what is on the table,computer,image421
what is in front of the pillow,clothes,image81
how many lights are hanging from the ceiling on the left most side,3,image114
how many drawers are visible,6,image999
what is on the cabinet,"tray, utensil",image1378
what is above the cupboards,books,image110
what are the things on the night stand,"bottle_of_perfume, papers",image64
what is behind the sofa,excercise_machine,image348
what are the objects on the shelves,books,image646
what is on the right side of the lamp,bookshelf,image381
what is colour of window screen,white,image269
what is the colour of the lamp,"black, brown",image1029
what is the colour of pipe,red,image244
which object on the table is used for cutting,scissor,image318
what is the white electric appliance close to the dish rack,electrical_kettle,image575
what is to the right of the projector screen,board,image314
what is on the left side of the fan,air_conditioner,image584
what is placed on the shelf,water_purifier,image214
what is on the table,"book, carton, bottle",image1373
what are the objects found on the table,"clothes, papers, cup, salt_and_pepper",image888
what is the colour of pillar,brown,image228
what is object found in the left corner,television,image1138
what is on the right side of the shelves,blinds,image437
what is the colour of the cupboard handles,black,image792
what is kept on the cupboard,clothes,image1116
what is to the right of the table,cabinet,image1251
what are at the right of the television,cabinet,image1223
what is on the right side of the ornamental plant,table,image457
what is the silver and gray colour object,microwave,image853
what is near the window,curtain,image981
what is on the floor,"machine, cables",image584
what is the object close to the sink,faucet,image807
what objects are on the table,"pen, pen_box, books, papers",image955
how many monitors are there,4,image111
what is on the left side of the curtains,stand,image1087
what is colour of television,black,image595
what is present on the right side of the image1035,bed,image1035
how many chairs are,6,image639
how many stands are there in front of the pillar,2,image96
what is at the right side of the rack,chair,image1173
what is hanging from the ceiling above the table,chandelier,image223
how many drawer knobs are there beneath the television,8,image68
what is on the left side,refridgerator,image799
what is found in inside room,cabinet,image1112
what objects are stuck on the wall,"television, photo",image1115
what is the object close to the wall,picture,image909
what is behind the wall,door,image347
what are the object on the counter left of the stove,"hot_water_heater, microwave, bottle, plate",image145
what is on the drawer,cordless_phone,image984
what object is to the right of the rack,television,image1300
how many drawers are visible,3,image700
what is on the right side of the fishes on the wall,picture,image1325
what is to the right of the cabinet,sofa,image1328
what are the objects on the floor right of the pillar,shopping_baskets,image110
what is the object right of the counter,dishwasher,image819
what is above behind the bed,photo,image921
how many chairs are there,4,image632
what is the object found below the towel,floor_mat,image675
what is the colour of the plant,green,image340
what is on the wall,decorative_item,image1016
what is the object close to the wall,picture,image1014
what is the object close to the floor,floor_mat,image589
how many laptops are there,1,image146
how many rows of shelves are there beneath the gray table,books,image111
what is stuck on the wall,light_switch,image1403
what is the colour of the sofa,gray,image1251
what sre the objects in the shelf,"books, printer, cream, hair_brush",image67
what is the colour of cupboard,brown,image788
what is found on the floor,book,image1067
how many wash basins are there,2,image735
how many televisions are there,1,image595
what is to the left of the toy house,shelves,image399
what is on the paper,pen,image392
what is on the drawer table in between the beds,"lamp, picture",image1041
what is the object on the floor behind the chiar,bed,image957
what is on the shelf,glass_ware,image248
what is on the left side night stand,lamp,image1074
what is on the right side of the sofa,mirror,image1271
what is in front of the table,fireplace,image1313
what is above the chair,picture,image1269
what is the wall to the right of the plant pot,light_switch,image1271
how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3,image23
how many candle sticks are there,4,image1367
what is in front of the treadmill,television,image349
what is on the wall,blinds,image1025
how many high stools are in front of the kitchen counter,2,image263
what is found below the window,treadmill,image1317
what is behind the black box on the table,perfume,image27
what is above the projector screen,ceiling,image27
how many dark brown squere tea table are there,1,image419
what is on the sofa,pillow,image249
what is on the right side of the bed,blinds,image1045
how many beds are there,2,image931
how many stands are in front of the table,2,image110
what is in front of the door,laundry_basket,image1027
how many drawers are visible,5,image1342
what is behind the yellow table,ladder,image1122
what is in front of the table,garbage_bin,image496
what are the things on the mantel,candlestick,image1379
what is right of oven,sink,image253
how many chairs are there,10,image1404
what is the colour of the blinds,white,image1199
what is on the table,picture,image913
what is the largest object,sofa,image1224
what is at the left corner in the room,door,image1232
what is the colour of the drawer,gray,image978
what are found below the photos,cloth_bag,image913
how many blinds are visible,2,image27
what is on the chair,clothes,image895
what is found on the top of the towel rod,photo,image667
how many doors does the cupboard have,2,image44
what is the colour of microwave,white,image214
what is the object on the counter left of the stove,microwave,image572
what are the objects on the table,books,image982
what is on the right side of the bed,ironing_board,image968
how many chairs are there,8,image639
what is the big object,television,image163
what is near the airconditionerg,vase,image138
what is right of table,box,image292
what is kept on the floor to the left side of the light switch,picture,image1030
what is on the right side of the iron box,ironing_board,image586
what is on the table,tissue_box,image303
how many green lamps are there on the desk,1,image585
what are the objects on the table,decoration_item,image1362
what is on the left side of the the bath tub,toilet,image652
what is the largest object,shelves,image236
what is on the flush tank,tissue_box,image685
what is hanged on the bunk bed,towel,image1160
how many sofas are there,2,image1429
what is to the right of the fireplace,cabinet,image1323
how many machines are there,3,image10
how many knobs are there,4,image1115
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is under the computer table,garbage_bin,image337
what is beneath the drawer,towel,image498
what is the object on the floor in front of the table,bag,image1066
what is on the wall,wall_decoration,image467
what color is the paper under the black frame on the floor,pink,image377
what is on the table,book,image1313
what are the objects are on the floor,bowl,image898
how many staplers are there on the light brown table under the bookshelf,2,image24
what is behind the sofa,photo,image1269
what are the objects in the shelves,books,image1251
what is the object close to the wall above the sink,mirror,image499
what is the brown cardboard kept on the floor close to the shelves,box,image106
what is on the table,tablecloth,image1357
what is on the table,"coffee_grinder, papers",image886
what is the colour of the wall,white,image1112
what is to the left of sofa,chair,image223
what is on the handle of the dishwasher,kichen_towel,image848
what is in front of the wall decoration,table,image1376
what in on the table,candelabra,image1381
what is on the door,knob,image1066
what is on the left most side on the table,coffee_machine,image587
what are the objects that are placed close inside the pen stand,"pen, pencil, scale",image11
what is behind the framed picture,papers,image371
what is near the statue on the table,magazine,image452
what is in front of the wall,table,image1097
what is the object under the table,chair,image1141
what is the colour of the toilet,white,image45
what is behind the chair,lamp,image1232
what color is the garbage bin in front of the gray door on the left side of the fire extinguisher,blue,image8
what is the object on the floor,floor_mat,image739
what is reflected,towel,image499
what is the colour of the garbage bin,black,image865
what is to the right of the game table,table,image438
what is between the wall and the scissor on the right side of the sink,pitcher,image140
what is on the left side of the table,bed,image920
what is on the right side of the laptop,telephone,image623
what is in front of the lamp,books,image1328
what is in front of the window,table,image1320
how many toothbrushes are in toothbrush holder,2,image44
what is the object on the floor in front of the wall,cabinet,image1065
what is the object above the sink close to the wall,mirror,image49
what is in the shelf,ping_pong_racket,image641
how many chairs are there,1,image957
what is on the left side of the table,chair,image458
what kind of gym equipment is on the right side of the sofa,treadmill,image1318
what is in between the chair and sofa,lamp,image1245
what is on the dinning table,plant_pot,image799
what is the colour of the bag on the left side of the papers,blue,image394
how many drawer handles are there,4,image876
what is the object close to the ceiling and in front of the window,projector_screen,image27
what is near the backpack,shoe,image150
what is above the drawer,microwave,image625
what is the colour of the book,"red, black",image1393
what is the object close to the refrigerator handle,towel,image872
what is on the left side of the sink,container,image891
what is on the top of the cabinet,photo,image1071
what is above laptop,shelves,image256
what is on the sofa,pillow,image51
what is the object behind the screen,bathtub,image667
what is on the sofa,clothes,image1241
what is stuck on the wall,photo,image901
what is the largest object,cabinet,image1159
what is leaning on the bed,ladder,image1159
how many chairs are not placed along with table,6,image6
what is on the left side of the hot water heater,tissue_roll,image897
what are the things on the table,"file, photo",image1252
what is on the right side of the tap,bottle_of_hand_wash_liquid,image660
what is on the chair,bag,image984
what is on the cabinet on the left side of the pot,toaster_oven,image145
what is to left of toilet,soap,image501
what is in the right bottom,chair,image1429
what is on the floor,clothes,image1036
what is to the right of the bed,table,image1074
what is found on the left of the lamp,books,image982
what is above the sofa,picture,image600
what is above the chair,picture,image910
how many dolls are there,2,image1177
what is in front of the books in the shelf,cordless_phone,image481
what are the colours of the curtains,"blue, green",image981
what is at the bottom right,chair,image1185
what color is the lamp shade near the laptop on the table,red,image93
what is behind the door,suitcase,image998
what is in between the chairs,stool,image452
how many doors do the cupboards have,6,image102
what is right of computer,printer,image553
how many chairs are there,4,image745
what is above the table,chandelier,image1346
what is the object to the right of the student,bottle,image305
what is on the left side of the chair,toy,image437
how many chair are,5,image258
what is the colour of the ladder,red,image7
what is right of table,bed,image528
how many pictures are there,4,image51
what is in front of the washing machine,cloth_drying_stand,image493
what is the object on the floor right of the shelf,garbage_bin,image990
what are on the coffee table,"vase, books",image1267
